user_id,match_id,map_id,x,y,z,ts,event,is_bot,date
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,1.5823177,116.34025,161.09335,1970-01-21 11:56:58.782,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,0.29590866,116.445984,158.8797,1970-01-21 11:56:58.797,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-22.947815,110.116844,13.3734665,1970-01-21 11:56:58.958,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,39.216587,116.99915,233.62488,1970-01-21 11:56:58.687,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-0.010718614,114.3985,169.26414,1970-01-21 11:56:58.777,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,15.138659,115.58323,144.1395,1970-01-21 11:56:58.842,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,20.30206,115.842445,147.46193,1970-01-21 11:56:58.888,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-157.88988,147.52458,297.1928,1970-01-21 11:56:58.561,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-169.52902,147.50375,310.12646,1970-01-21 11:56:58.516,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,9.701944,113.743866,69.12157,1970-01-21 11:56:58.913,Position,False,1970-01-21
